"Source","Destination","DirTotal","NewDirCopied","DirFailed","Filetotal","NewFileCopied","FileFailed","Duration","Speed","Ended"
"E:\","G:\","233589","233588","0","2185350","159363","67237","06:22:04","2298.872 MegaBytes/min.","12 August 2023 11:25:49"
"Total","","233589","233588","0","2185350","159363","67237","","",""
